feature,# inclusions,from prod,from prod non-factory
total,992,616,490
sync,66,23,16
profiles,62,50,49
settings,52,34,34
supervised_user,43,30,25
chrome/browser/ui/webui/signin,42,29,26
policy,41,18,12
dice,40,16,16
extensions,40,22,16
chrome/browser/chromeos/login,38,29,25
signin,38,29,19
webui,31,20,20
chrome/browser/extensions/api/identity,26,15,15
account_reconcilor,22,14,7
about_signin,22,22,10
safe_browsing,20,6,6
authentication_service,19,6,3
signin_tracker,16,7,4
signin_ui_util,16,9,9
account_fetcher,16,10,2
easy_unlock,14,12,12
desktop_ios_promotion,14,6,2
ios/chrome/browser/ui/authentication,14,12,12
chrome/browser/ui,14,7,7
chrome/browser/chromeos,14,5,5
gcm_driver,13,5,5
bookmarks,11,4,4
browser_state,11,11,11
chrome/browser/android/signin,11,11,11
signin_global_error,11,4,3
arc/auth,10,5,5
invalidation,10,7,0
search,10,4,3
account_investigator,9,5,2
gcm,9,6,0
password_manager,9,7,5
account_consistency,9,5,3
first_run,9,7,7
ios/web_view/internal/signin,8,8,2
metrics,8,6,3
chrome/browser,8,4,4
signin_error_notifier,8,3,1
chrome/test/base,8,0,0
payments,8,4,4
signin_promo,7,7,7
toolbar,7,4,4
cryptauth,7,7,5
autofill,6,6,4
signin_status_metrics_provider,6,6,6
drive_backend,5,5,5
components/search_provider_logos,5,1,1
drive,4,4,4
ios/chrome/browser/ui/signin_interaction,4,2,2
autocomplete,4,4,4
ios/chrome/browser/ui,4,2,2
history,4,4,0
force_signin,3,3,3
child_account_info,3,3,3
startup,2,2,2
cloud_print,2,2,2
ios/chrome/browser/passwords,2,2,2
ios/chrome/app,2,2,2
chrome/browser/interstitials,2,2,2
chrome/browser/android,2,2,0
profile_identity_provider,2,2,2
gaia_cookie_manager,2,2,0
ios/chrome/test/app,2,0,0
chrome/browser/unified_consent,1,1,0
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/prefs,1,1,1
chrome/browser/search_provider_logos,1,1,0
