feature,# inclusions,from prod,from prod non-factory
total,967,611,492
sync,72,32,23
profiles,58,46,45
supervised_user,57,43,37
webui,45,32,31
policy,41,18,12
settings,41,29,29
chrome/browser/chromeos/login,41,29,25
dice,40,16,16
chrome/browser/ui/webui/signin,40,24,23
signin,37,28,18
extensions,36,20,16
chrome/browser/extensions/api/identity,26,15,15
account_reconcilor,21,13,7
about_signin,21,21,10
signin_tracker,16,7,4
signin_ui_util,16,9,9
authentication_service,16,5,3
account_fetcher,15,9,2
safe_browsing,14,4,4
easy_unlock,14,12,12
desktop_ios_promotion,13,6,2
chrome/browser/ui,13,7,7
autocomplete,12,8,4
bookmarks,11,4,4
ios/web_view/internal/signin,11,11,5
chrome/browser/android/signin,11,11,11
signin_global_error,11,4,3
browser_state,10,10,10
arc/auth,10,5,5
search,10,4,3
account_investigator,9,5,2
ios/chrome/browser/ui/authentication,9,9,9
invalidation,9,8,2
account_consistency,9,5,3
first_run,9,7,7
gcm,8,5,0
password_manager,8,6,5
chrome/browser,8,4,4
signin_error_notifier,8,3,1
chrome/test/base,8,0,0
payments,8,4,4
signin_promo,7,7,7
toolbar,7,4,4
cryptauth,7,7,5
signin_status_metrics_provider,6,6,6
drive_backend,5,5,5
chrome/browser/chromeos,5,0,0
components/search_provider_logos,5,1,1
feedback,4,4,4
drive,4,4,4
ios/chrome/browser/ui/signin_interaction,4,2,2
ios/chrome/browser/ui,4,2,2
history,4,4,0
force_signin,3,3,3
child_account_info,3,3,3
startup,2,2,2
autofill,2,2,0
cloud_print,2,2,2
ios/chrome/browser/passwords,2,2,2
download,2,0,0
ios/chrome/app,2,2,2
chrome/browser/android,2,2,0
metrics,2,0,0
profile_identity_provider,2,2,2
gaia_cookie_manager,2,2,0
ios/chrome/test/app,2,0,0
gcm_driver,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/prefs,1,1,1
chrome/browser/search_provider_logos,1,1,0
